"Status","Year","Age","Disability","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","60-64","Declared disabled","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Project Delivery","SEO/HEO","15","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Property","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Property","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Property","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Security","AA/AO","15","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Security","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
